"Association Registered"	""	""	""	""
"Name"	"Address"	"E-Mail"	"Contact No"	"Contact Person"
"Sri Lanka bus Association"	"No:27/01, Bandara ,Batawala, Bemmulla"	"lankatouristbusowners@gmail.com"	"771356843"	"G.H.N.Jayathissa"
"Yala Jeep owners Association"	"No:414/A ,Debarawewa , Tissamaharamaya"	"-"	"777905532"	"A.P Ajith Priyantha"
"Independent safari jeep Association"	"No:02 Punchiakurugoda Tissamaharama"	""	"776310215"	"P.D.Keerthi"
"Yalagama Jeep Society"	"No:Yala Juntion Kirinda Tissamaharamaya"	""	"768722581"	"sampath"
"Kadirapura Safari jeep Socity"	"No: 07,viharamahadevi place new town"	"kadirapurasafari@gmail.com"	"774380661"	"W.V Wasantha"
"sri lanka Assocition of Professional Conference Exxabition & event 
organisers"	"No: 78,Galle Road Colombo 03, Sri Lanka"	"info@slapceo.lk"	"777685444"	"Shantifelecia outschoorn"
"Lanka Tourist Drivers and Assistants Assosiation"	"No:31/1 Thalwathta,Gonawala ,Kelaniya"	"ltdnaa@gmail.com"	"770856195"	"Asok Dharmakeerthi"
"Natonal Tourist Drivers Association"	"No:761 Indunesia Memory Hall -Seeduwa"	"ntdaotticeseeeduwa@gmail.com"	"773559810"	"W.M.S. Jayantha"
"Save the yala jeep Drivers association"	"No:175/B,Mahasenpura ,Tissa"	"-"	"778353932"	"Sachithra"
"Chauffer Tourist Guid Lectures Association of Sri Lanka"	"No:50A Halpe Mawatha Kadana"	"ctgala@sltnet.lk"	"777805253"	"K.K.C.V Jayaweera"
"Hotel Suppliers Assciotion"	"No:53 sri Subuthipura, Battaramulla."	"hsasrilanka@gmail.com"	"777416690"	"Mansoor"
"Tourism Service Providers Association"	"No: 560/B induragara Road, induragara, Dunugaha"	"tspnlanka@gmail.com"	"711331377"	"Hemal"
"Independent safari jeep Association"	"Elephant Intesectin junction Udawalawa"	"independentjeepassociation@gmail.com"	"772794017"	"Athula"
